iter	Logloss
0	0.5993013736
1	0.5444390667
2	0.5077410756
3	0.4869958112
4	0.4713658805
5	0.4611128197
6	0.4545812714
7	0.4500627828
8	0.4458488727
9	0.4426913154
10	0.4401853912
11	0.4382859016
12	0.4368123216
13	0.4357426925
14	0.4343948388
15	0.4331373723
16	0.4323751692
17	0.4316381544
18	0.4306968856
19	0.4298686935
20	0.4293134745
21	0.4287052973
22	0.4280706194
23	0.427467509
24	0.4266073867
25	0.4263249902
26	0.4256868291
27	0.4253087702
28	0.4245706827
29	0.4241244941
30	0.4234058
31	0.4230289071
32	0.4223305998
33	0.4222244377
34	0.421787815
35	0.4213853087
36	0.4211671805
37	0.4206921412
38	0.4205315379
39	0.4203125452
40	0.4200625425
41	0.4196064921
42	0.4194468921
43	0.4190470103
44	0.4183702883
45	0.4179437976
46	0.4177484208
47	0.4173304069
48	0.416925744
49	0.4165379801
50	0.4159637957
51	0.4155218384
52	0.4152545736
53	0.4151506326
54	0.4147060582
55	0.4142455448
56	0.4138595828
57	0.413537555
58	0.4133571196
59	0.4131945324
60	0.4130444257
61	0.4127070198
62	0.4125220284
63	0.4124037736
64	0.412111121
65	0.4118000003
66	0.4114605276
67	0.411247959
68	0.4108139457
69	0.4105003979
70	0.4103759225
71	0.4102342772
72	0.409921347
73	0.4094780411
74	0.4091416755
75	0.4086995629
76	0.4085455227
77	0.4082245678
78	0.4078124798
79	0.4075028548
80	0.407278677
81	0.4070116333
82	0.4065307524
83	0.4062577158
84	0.4060744385
85	0.4057736891
86	0.4054283534
87	0.4049991323
88	0.404391863
89	0.4040647304
90	0.4037160729
91	0.4034874325
92	0.4032047779
93	0.4031164514
94	0.4026598177
95	0.4021734966
96	0.401887702
97	0.4016703743
98	0.4013908848
99	0.4012226599
