iter	Passed	Remaining
0	4	437
1	7	373
2	10	348
3	14	344
4	18	352
5	22	352
6	26	346
7	29	334
8	32	327
9	36	329
10	40	323
11	43	316
12	46	309
13	50	308
14	53	305
15	57	300
16	59	292
17	62	286
18	66	282
19	69	278
20	72	273
21	75	268
22	78	263
23	82	260
24	85	257
25	88	252
26	92	249
27	95	246
28	100	245
29	103	240
30	106	236
31	109	232
32	112	228
33	115	224
34	119	221
35	122	216
36	125	212
37	128	209
38	131	205
39	134	201
40	137	197
41	140	193
42	143	189
43	147	187
44	150	183
45	153	180
46	156	176
47	159	172
48	163	170
49	166	166
50	169	163
51	172	159
52	175	155
53	179	153
54	182	149
55	186	146
56	189	142
57	192	139
58	196	136
59	200	133
60	203	130
61	207	126
62	211	124
63	214	120
64	217	117
65	220	113
66	224	110
67	228	107
68	231	103
69	234	100
70	237	96
71	240	93
72	244	90
73	247	86
74	250	83
75	253	80
76	257	76
77	261	73
78	265	70
79	269	67
80	277	65
81	282	62
82	292	59
83	298	56
84	303	53
85	309	50
86	315	47
87	320	43
88	323	40
89	328	36
90	333	32
91	336	29
92	340	25
93	344	21
94	347	18
95	350	14
96	353	10
97	356	7
98	361	3
99	365	0
